zip,service,tier,region
01002,Ground Economy,DAS,Contiguous U.S.
01005,Ground Economy,DAS Extended,Contiguous U.S.
01007,Ground Economy,DAS,Contiguous U.S.
01008,Ground Economy,DAS Extended,Contiguous U.S.
01010,Ground Economy,DAS,Contiguous U.S.
01011,Ground Economy,DAS Extended,Contiguous U.S.
01012,Ground Economy,DAS Extended,Contiguous U.S.
01026,Ground Economy,DAS Extended,Contiguous U.S.
01029,Ground Economy,DAS,Contiguous U.S.
01031,Ground Economy,DAS Extended,Contiguous U.S.
01032,Ground Economy,DAS,Contiguous U.S.
01033,Ground Economy,DAS,Contiguous U.S.
01034,Ground Economy,DAS Extended,Contiguous U.S.
01036,Ground Economy,DAS,Contiguous U.S.
01037,Ground Economy,DAS Extended,Contiguous U.S.
01038,Ground Economy,DAS,Contiguous U.S.
01039,Ground Economy,DAS,Contiguous U.S.
01050,Ground Economy,DAS Extended,Contiguous U.S.
01054,Ground Economy,DAS Extended,Contiguous U.S.
01056,Ground Economy,DAS,Contiguous U.S.
01057,Ground Economy,DAS,Contiguous U.S.
01066,Ground Economy,DAS Extended,Contiguous U.S.
01068,Ground Economy,DAS Extended,Contiguous U.S.
01069,Ground Economy,DAS,Contiguous U.S.
01070,Ground Economy,DAS Extended,Contiguous U.S.
01071,Ground Economy,DAS Extended,Contiguous U.S.
01072,Ground Economy,DAS Extended,Contiguous U.S.
01073,Ground Economy,DAS,Contiguous U.S.
01074,Ground Economy,DAS Extended,Contiguous U.S.
01079,Ground Economy,DAS,Contiguous U.S.
01080,Ground Economy,DAS,Contiguous U.S.
01081,Ground Economy,DAS Extended,Contiguous U.S.
01082,Ground Economy,DAS,Contiguous U.S.
01083,Ground Economy,DAS,Contiguous U.S.
01084,Ground Economy,DAS Extended,Contiguous U.S.
01088,Ground Economy,DAS,Contiguous U.S.
01092,Ground Economy,DAS Extended,Contiguous U.S.
01093,Ground Economy,DAS,Contiguous U.S.
01094,Ground Economy,DAS,Contiguous U.S.
01096,Ground Economy,DAS Extended,Contiguous U.S.
01097,Ground Economy,DAS,Contiguous U.S.
01098,Ground Economy,DAS Extended,Contiguous U.S.
01220,Ground Economy,DAS,Contiguous U.S.
01222,Ground Economy,DAS Extended,Contiguous U.S.
01223,Ground Economy,DAS Extended,Contiguous U.S.
01224,Ground Economy,DAS,Contiguous U.S.
01225,Ground Economy,DAS,Contiguous U.S.
01226,Ground Economy,DAS,Contiguous U.S.
01227,Ground Economy,DAS,Contiguous U.S.
01229,Ground Economy,DAS Extended,Contiguous U.S.
01230,Ground Economy,DAS Extended,Contiguous U.S.
01235,Ground Economy,DAS Extended,Contiguous U.S.
01236,Ground Economy,DAS,Contiguous U.S.
01237,Ground Economy,DAS Extended,Contiguous U.S.
01240,Ground Economy,DAS,Contiguous U.S.
01243,Ground Economy,DAS Extended,Contiguous U.S.
01244,Ground Economy,DAS Extended,Contiguous U.S.
01245,Ground Economy,DAS Extended,Contiguous U.S.
01247,Ground Economy,DAS,Contiguous U.S.
01252,Ground Economy,DAS,Contiguous U.S.
01253,Ground Economy,DAS Extended,Contiguous U.S.
01254,Ground Economy,DAS Extended,Contiguous U.S.
01255,Ground Economy,DAS Extended,Contiguous U.S.
01256,Ground Economy,DAS Extended,Contiguous U.S.
01257,Ground Economy,DAS,Contiguous U.S.
01258,Ground Economy,DAS Extended,Contiguous U.S.
01259,Ground Economy,DAS Extended,Contiguous U.S.
01260,Ground Economy,DAS,Contiguous U.S.
01262,Ground Economy,DAS Extended,Contiguous U.S.
01263,Ground Economy,DAS Extended,Contiguous U.S.
01264,Ground Economy,DAS Extended,Contiguous U.S.
01266,Ground Economy,DAS Extended,Contiguous U.S.
01267,Ground Economy,DAS,Contiguous U.S.
01270,Ground Economy,DAS Extended,Contiguous U.S.
01330,Ground Economy,DAS Extended,Contiguous U.S.
01331,Ground Economy,DAS,Contiguous U.S.
01337,Ground Economy,DAS,Contiguous U.S.
01338,Ground Economy,DAS,Contiguous U.S.
01339,Ground Economy,DAS Extended,Contiguous U.S.
01340,Ground Economy,DAS Extended,Contiguous U.S.
01341,Ground Economy,DAS Extended,Contiguous U.S.
01343,Ground Economy,DAS Extended,Contiguous U.S.
01344,Ground Economy,DAS Extended,Contiguous U.S.
01346,Ground Economy,DAS Extended,Contiguous U.S.
01349,Ground Economy,DAS,Contiguous U.S.
01350,Ground Economy,DAS Extended,Contiguous U.S.
01351,Ground Economy,DAS,Contiguous U.S.
01355,Ground Economy,DAS Extended,Contiguous U.S.
01360,Ground Economy,DAS Extended,Contiguous U.S.
01364,Ground Economy,DAS,Contiguous U.S.
01366,Ground Economy,DAS Extended,Contiguous U.S.
01367,Ground Economy,DAS Extended,Contiguous U.S.
01368,Ground Economy,DAS Extended,Contiguous U.S.
01370,Ground Economy,DAS Extended,Contiguous U.S.
01375,Ground Economy,DAS,Contiguous U.S.
01376,Ground Economy,DAS,Contiguous U.S.
01378,Ground Economy,DAS Extended,Contiguous U.S.
01379,Ground Economy,DAS Extended,Contiguous U.S.
01380,Ground Economy,DAS,Contiguous U.S.
01420,Ground Economy,DAS,Contiguous U.S.
01430,Ground Economy,DAS,Contiguous U.S.
01431,Ground Economy,DAS,Contiguous U.S.
01432,Ground Economy,DAS,Contiguous U.S.
01436,Ground Economy,DAS,Contiguous U.S.
01438,Ground Economy,DAS,Contiguous U.S.
01450,Ground Economy,DAS,Contiguous U.S.
01451,Ground Economy,DAS,Contiguous U.S.
01452,Ground Economy,DAS Extended,Contiguous U.S.
01462,Ground Economy,DAS,Contiguous U.S.
01463,Ground Economy,DAS,Contiguous U.S.
01464,Ground Economy,DAS,Contiguous U.S.
01468,Ground Economy,DAS,Contiguous U.S.
01469,Ground Economy,DAS,Contiguous U.S.
01470,Ground Economy,DAS,Contiguous U.S.
01471,Ground Economy,DAS,Contiguous U.S.
01473,Ground Economy,DAS,Contiguous U.S.
01474,Ground Economy,DAS,Contiguous U.S.
01475,Ground Economy,DAS Extended,Contiguous U.S.
01503,Ground Economy,DAS,Contiguous U.S.
01504,Ground Economy,DAS,Contiguous U.S.
01506,Ground Economy,DAS,Contiguous U.S.
01507,Ground Economy,DAS Extended,Contiguous U.S.
01509,Ground Economy,DAS,Contiguous U.S.
01515,Ground Economy,DAS,Contiguous U.S.
01516,Ground Economy,DAS,Contiguous U.S.
01518,Ground Economy,DAS,Contiguous U.S.
01521,Ground Economy,DAS,Contiguous U.S.
01522,Ground Economy,DAS,Contiguous U.S.
01523,Ground Economy,DAS,Contiguous U.S.
01529,Ground Economy,DAS,Contiguous U.S.
01531,Ground Economy,DAS Extended,Contiguous U.S.
01535,Ground Economy,DAS,Contiguous U.S.
01541,Ground Economy,DAS,Contiguous U.S.
01542,Ground Economy,DAS,Contiguous U.S.
01543,Ground Economy,DAS,Contiguous U.S.
01550,Ground Economy,DAS,Contiguous U.S.
01561,Ground Economy,DAS Extended,Contiguous U.S.
01562,Ground Economy,DAS,Contiguous U.S.
01566,Ground Economy,DAS,Contiguous U.S.
01568,Ground Economy,DAS,Contiguous U.S.
01585,Ground Economy,DAS Extended,Contiguous U.S.
01590,Ground Economy,DAS,Contiguous U.S.
01611,Ground Economy,DAS,Contiguous U.S.
01612,Ground Economy,DAS,Contiguous U.S.
01720,Ground Economy,DAS,Contiguous U.S.
01741,Ground Economy,DAS,Contiguous U.S.
01754,Ground Economy,DAS,Contiguous U.S.
01756,Ground Economy,DAS Extended,Contiguous U.S.
01770,Ground Economy,DAS,Contiguous U.S.
01773,Ground Economy,DAS,Contiguous U.S.
01827,Ground Economy,DAS,Contiguous U.S.
01830,Ground Economy,DAS,Contiguous U.S.
01832,Ground Economy,DAS,Contiguous U.S.
01833,Ground Economy,DAS,Contiguous U.S.
01860,Ground Economy,DAS,Contiguous U.S.
01879,Ground Economy,DAS,Contiguous U.S.
01885,Ground Economy,DAS Extended,Contiguous U.S.
01921,Ground Economy,DAS,Contiguous U.S.
01922,Ground Economy,DAS,Contiguous U.S.
01929,Ground Economy,DAS,Contiguous U.S.
01930,Ground Economy,DAS,Contiguous U.S.
01936,Ground Economy,DAS,Contiguous U.S.
01938,Ground Economy,DAS,Contiguous U.S.
01944,Ground Economy,DAS,Contiguous U.S.
01949,Ground Economy,DAS,Contiguous U.S.
01950,Ground Economy,DAS,Contiguous U.S.
01951,Ground Economy,DAS,Contiguous U.S.
01952,Ground Economy,DAS,Contiguous U.S.
01966,Ground Economy,DAS,Contiguous U.S.
01969,Ground Economy,DAS,Contiguous U.S.
01982,Ground Economy,DAS,Contiguous U.S.
01983,Ground Economy,DAS,Contiguous U.S.
01985,Ground Economy,DAS,Contiguous U.S.
02025,Ground Economy,DAS,Contiguous U.S.
02030,Ground Economy,DAS,Contiguous U.S.
02031,Ground Economy,DAS,Contiguous U.S.
02045,Ground Economy,DAS,Contiguous U.S.
02047,Ground Economy,DAS Extended,Contiguous U.S.
02053,Ground Economy,DAS,Contiguous U.S.
02054,Ground Economy,DAS,Contiguous U.S.
02056,Ground Economy,DAS,Contiguous U.S.
02066,Ground Economy,DAS,Contiguous U.S.
02108,Ground Economy,DAS,Contiguous U.S.
02109,Ground Economy,DAS,Contiguous U.S.
02110,Ground Economy,DAS,Contiguous U.S.
02111,Ground Economy,DAS,Contiguous U.S.
02113,Ground Economy,DAS,Contiguous U.S.
02114,Ground Economy,DAS,Contiguous U.S.
02116,Ground Economy,DAS,Contiguous U.S.
02127,Ground Economy,DAS,Contiguous U.S.
02203,Ground Economy,DAS,Contiguous U.S.
02210,Ground Economy,DAS,Contiguous U.S.
02269,Ground Economy,DAS,Contiguous U.S.
02330,Ground Economy,DAS,Contiguous U.S.
02332,Ground Economy,DAS,Contiguous U.S.
02338,Ground Economy,DAS,Contiguous U.S.
02341,Ground Economy,DAS,Contiguous U.S.
02347,Ground Economy,DAS,Contiguous U.S.
02364,Ground Economy,DAS,Contiguous U.S.
02366,Ground Economy,DAS,Contiguous U.S.
02367,Ground Economy,DAS,Contiguous U.S.
02534,Ground Economy,DAS,Contiguous U.S.
02535,Ground Economy,DAS Extended,Contiguous U.S.
02536,Ground Economy,DAS,Contiguous U.S.
02538,Ground Economy,DAS,Contiguous U.S.
02539,Ground Economy,DAS Extended,Contiguous U.S.
02540,Ground Economy,DAS,Contiguous U.S.
02541,Ground Economy,DAS,Contiguous U.S.
02542,Ground Economy,DAS,Contiguous U.S.
02552,Ground Economy,DAS Extended,Contiguous U.S.
02554,Ground Economy,DAS Extended,Contiguous U.S.
02557,Ground Economy,DAS Extended,Contiguous U.S.
02564,Ground Economy,DAS Extended,Contiguous U.S.
02568,Ground Economy,DAS Extended,Contiguous U.S.
02574,Ground Economy,DAS Extended,Contiguous U.S.
02575,Ground Economy,DAS Extended,Contiguous U.S.
02584,Ground Economy,DAS Extended,Contiguous U.S.
02630,Ground Economy,DAS,Contiguous U.S.
02631,Ground Economy,DAS,Contiguous U.S.
02633,Ground Economy,DAS,Contiguous U.S.
02635,Ground Economy,DAS,Contiguous U.S.
02638,Ground Economy,DAS,Contiguous U.S.
02639,Ground Economy,DAS,Contiguous U.S.
02641,Ground Economy,DAS,Contiguous U.S.
02642,Ground Economy,DAS,Contiguous U.S.
02643,Ground Economy,DAS,Contiguous U.S.
02645,Ground Economy,DAS,Contiguous U.S.
02646,Ground Economy,DAS,Contiguous U.S.
02647,Ground Economy,DAS,Contiguous U.S.
02648,Ground Economy,DAS,Contiguous U.S.
02650,Ground Economy,DAS,Contiguous U.S.
02651,Ground Economy,DAS,Contiguous U.S.
02652,Ground Economy,DAS,Contiguous U.S.
02653,Ground Economy,DAS,Contiguous U.S.
02655,Ground Economy,DAS,Contiguous U.S.
02657,Ground Economy,DAS,Contiguous U.S.
