Invoice_Date,Invoice_Number,Account_Number,Tracking_Number,Service_Type,Origin_City,Origin_State,Origin_Zip,Dest_City,Dest_State,Dest_Zip,Zone,Actual_Weight,Billed_Weight,Dimensional_Weight,Length,Width,Height,Published_Charge,Net_Charge,Residential_Surcharge,Address_Correction_Fee,Fuel_Surcharge,Peak_Surcharge,Large_Package_Surcharge,Saturday_Delivery_Fee,On_Time_Delivery,Days_In_Transit
2024-04-05,UPS2025084311,987654321,1Z999AA10147074084,2ND_DAY_AIR,Los Angeles,NY,60601,Denver,MA,33101,8,129.3,129.3,36.5,15.2,9.4,35.5,144.98,255.35,0,0,9.42,5.95,95.0,0,1,2
2024-04-05,UPS2025084311,987654321,1Z999AA10923132862,GROUND,Houston,CA,60601,Denver,CO,98101,3,55.1,202.8,95.6,27.0,35.4,13.9,227.85,337.66,0,0,14.81,0,95.0,0,1,4
2024-04-05,UPS2025084311,987654321,1Z999AA10858286340,GROUND,Los Angeles,NY,10001,Miami,WA,80201,3,79.7,79.7,71.1,11.8,32.1,26.1,147.21,251.78,0,0,9.57,0,95.0,0,1,4
2024-04-05,UPS2025084311,987654321,1Z999AA10150289698,GROUND,New York,NY,10001,Denver,FL,33101,2,41.5,106.6,106.6,35.9,12.1,34.1,281.4,410.69,0,0,18.29,0,95.0,16.0,1,5
2024-04-05,UPS2025084311,987654321,1Z999AA10949320554,GROUND,New York,NY,10001,Boston,AZ,33101,7,61.2,61.2,35.7,8.7,21.6,26.4,72.5,199.36,5.2,0,4.71,5.95,95.0,16.0,1,5
2024-04-05,UPS2025084311,987654321,1Z999AA10623087031,GROUND,Houston,CA,10001,Miami,FL,02101,6,63.8,256.4,114.2,34.8,25.2,18.1,203.12,311.32,0,0,13.2,0,95.0,0,1,4
2024-04-05,UPS2025084311,987654321,1Z999AA10158963977,3_DAY_SELECT,Los Angeles,TX,10001,Phoenix,AZ,98101,5,20.6,20.6,17.1,18.4,10.5,12.3,47.89,69.0,0,18.0,3.11,0,0,0,1,3
2024-04-05,UPS2025084311,987654321,1Z999AA10178925430,GROUND,Houston,CA,10001,Boston,MA,02101,4,134.1,134.1,13.4,11.1,19.1,8.8,296.13,315.38,0,0,19.25,0,0,0,1,3
2024-04-05,UPS2025084311,987654321,1Z999AA10573367208,GROUND,Houston,NY,10001,Miami,FL,33101,5,73.7,73.7,53.0,9.2,24.4,32.8,99.33,200.79,0,0,6.46,0,95.0,0,1,5
2024-04-05,UPS2025084311,987654321,1Z999AA10931749619,3_DAY_SELECT,New York,NY,90001,Miami,FL,80201,6,68.2,68.2,62.0,11.1,22.5,34.5,191.68,304.34,5.2,0,12.46,0,95.0,0,1,3
2024-04-05,UPS2025084311,987654321,1Z999AA10474053060,GROUND,Houston,IL,60601,Boston,AZ,02101,4,39.0,83.6,45.8,34.0,26.0,7.2,60.71,159.66,0,0,3.95,0,95.0,0,1,3
2024-04-05,UPS2025084311,987654321,1Z999AA10424638949,GROUND,Houston,TX,60601,Phoenix,WA,33101,7,136.8,136.8,89.9,11.4,33.1,33.1,149.21,259.11,5.2,0,9.7,0,95.0,0,1,4
2024-04-05,UPS2025084311,987654321,1Z999AA10121336865,GROUND,Los Angeles,TX,60601,Denver,FL,85001,5,36.0,36.0,26.5,19.4,22.3,8.5,85.05,95.78,5.2,0,5.53,0,0,0,1,4
2024-04-05,UPS2025084311,987654321,1Z999AA10267385776,GROUND,Chicago,NY,77001,Boston,FL,33101,2,82.4,82.4,23.9,7.7,31.1,13.9,154.56,280.81,5.2,0,10.05,0,95.0,16.0,1,4
2024-04-05,UPS2025084311,987654321,1Z999AA10183331662,2ND_DAY_AIR,Chicago,TX,10001,Boston,MA,98101,4,46.8,78.1,51.5,38.9,14.6,12.6,226.83,241.57,0,0,14.74,0,0,0,1,2
