Invoice_Date,Invoice_Number,Account_Number,Tracking_Number,Service_Type,Origin_City,Origin_State,Origin_Zip,Dest_City,Dest_State,Dest_Zip,Zone,Actual_Weight,Billed_Weight,Dimensional_Weight,Length,Width,Height,Published_Charge,Net_Charge,Residential_Surcharge,Address_Correction_Fee,Fuel_Surcharge,Peak_Surcharge,Large_Package_Surcharge,Saturday_Delivery_Fee,On_Time_Delivery,Days_In_Transit
2024-02-20,UPS2025085781,987654321,1Z999AA10198206252,2ND_DAY_AIR,New York,CA,10001,Miami,FL,33101,8,72.9,72.9,21.4,7.7,19.8,19.5,88.93,94.71,0,0,5.78,0,0,0,1,2
2024-02-20,UPS2025085781,987654321,1Z999AA10119898095,GROUND,Los Angeles,IL,10001,Boston,AZ,85001,5,27.7,65.9,65.9,22.9,33.9,11.8,177.4,289.13,5.2,0,11.53,0,95.0,0,1,5
2024-02-20,UPS2025085781,987654321,1Z999AA10506133662,2ND_DAY_AIR,Houston,TX,77001,Denver,FL,02101,8,112.1,130.3,130.3,46.7,24.4,15.9,247.2,358.27,0,0,16.07,0,95.0,0,1,2
2024-02-20,UPS2025085781,987654321,1Z999AA10660410358,GROUND,Chicago,TX,60601,Denver,MA,33101,5,123.8,123.8,20.7,9.9,31.6,9.2,118.64,126.35,0,0,7.71,0,0,0,1,5
2024-02-20,UPS2025085781,987654321,1Z999AA10593937015,2ND_DAY_AIR,Houston,TX,60601,Denver,WA,02101,6,21.8,24.4,24.4,19.9,11.9,14.3,100.66,107.2,0,0,6.54,0,0,0,1,2
2024-02-20,UPS2025085781,987654321,1Z999AA10516305374,GROUND,Houston,CA,77001,Phoenix,AZ,33101,7,99.5,289.4,146.6,29.8,21.5,31.8,313.55,428.93,0,0,20.38,0,95.0,0,1,5
2024-02-20,UPS2025085781,987654321,1Z999AA10280065175,GROUND,Houston,NY,10001,Denver,CO,33101,3,3.8,16.7,16.7,10.2,14.1,16.1,31.9,33.97,0,0,2.07,0,0,0,1,5
2024-02-20,UPS2025085781,987654321,1Z999AA10589442104,GROUND,Chicago,IL,10001,Denver,FL,33101,4,17.4,63.1,63.1,23.0,12.8,29.8,105.19,212.23,5.2,0,6.84,0,95.0,0,1,5
2024-02-20,UPS2025085781,987654321,1Z999AA10639814679,GROUND,Houston,IL,60601,Denver,FL,98101,4,85.5,116.9,116.9,30.6,28.4,18.7,286.21,399.81,0,0,18.6,0,95.0,0,1,5
2024-02-20,UPS2025085781,987654321,1Z999AA10276115748,NEXT_DAY_AIR,Chicago,NY,77001,Seattle,WA,33101,6,131.1,237.6,122.0,16.5,30.6,33.6,237.96,348.43,0,0,15.47,0,95.0,0,1,1
