Invoice_Date,Invoice_Number,Account_Number,Tracking_Number,Service_Type,Origin_City,Origin_State,Origin_Zip,Dest_City,Dest_State,Dest_Zip,Zone,Actual_Weight,Billed_Weight,Dimensional_Weight,Length,Width,Height,Published_Charge,Net_Charge,Residential_Surcharge,Address_Correction_Fee,Fuel_Surcharge,Peak_Surcharge,Large_Package_Surcharge,Saturday_Delivery_Fee,On_Time_Delivery,Days_In_Transit
2024-01-15,UPS2025084151,987654321,1Z999AA10688339557,GROUND,New York,TX,77001,Miami,AZ,85001,7,28.9,215.3,215.3,37.6,29.7,26.8,217.18,337.45,5.2,0,14.12,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10765102052,NEXT_DAY_AIR,Houston,IL,90001,Seattle,MA,33101,4,54.7,111.2,50.8,22.2,10.7,29.7,293.09,413.09,0,0,19.05,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10431558301,NEXT_DAY_AIR,Chicago,IL,10001,Denver,WA,33101,8,119.1,266.4,12.5,7.5,29.7,7.8,748.63,819.24,0,0,48.66,5.95,0,16.0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10220900449,NEXT_DAY_AIR,Houston,IL,60601,Phoenix,MA,02101,7,113.0,113.0,42.0,36.4,11.7,13.7,264.52,287.66,0,0,17.19,5.95,0,0,0,2
2024-01-15,UPS2025084151,987654321,1Z999AA10873451912,GROUND,Chicago,IL,10001,Denver,AZ,85001,4,65.6,311.0,311.0,41.0,33.9,31.1,441.24,576.07,5.2,0,28.68,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10289075189,2ND_DAY_AIR,Houston,TX,90001,Boston,MA,33101,2,96.0,341.7,163.4,22.4,28.8,35.2,365.83,490.56,0,0,23.78,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10651624667,GROUND,Los Angeles,TX,77001,Miami,CO,33101,3,104.0,240.7,82.4,39.9,31.9,9.0,307.06,427.97,0,0,19.96,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10398905106,2ND_DAY_AIR,Chicago,TX,10001,Denver,AZ,80201,5,7.3,39.6,39.6,20.7,8.6,30.9,81.04,192.46,5.2,0,5.27,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10341934180,GROUND,Houston,NY,90001,Boston,MA,98101,3,115.4,270.7,46.3,21.2,18.3,16.6,241.85,263.52,0,0,15.72,5.95,0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10191089946,3_DAY_SELECT,New York,NY,77001,Denver,MA,33101,6,84.9,98.1,98.1,18.6,30.8,23.8,117.06,225.62,0,0,7.61,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10483396191,2ND_DAY_AIR,Los Angeles,NY,60601,Phoenix,FL,33101,7,54.3,54.3,41.3,21.6,10.1,26.3,102.44,115.05,0,0,6.66,5.95,0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10526962226,GROUND,Houston,NY,90001,Seattle,WA,85001,5,28.0,574.5,278.4,46.3,25.1,33.3,876.59,1034.52,0,0,56.98,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10161489935,GROUND,Houston,IL,60601,Denver,AZ,33101,8,73.3,263.2,105.9,30.8,14.1,33.9,404.69,549.94,0,18.0,26.3,5.95,95.0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10905745765,GROUND,Houston,TX,60601,Denver,CO,02101,6,48.0,94.3,94.3,45.5,9.2,31.3,229.23,345.08,0,0,14.9,5.95,95.0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10512990743,2ND_DAY_AIR,Houston,IL,90001,Phoenix,MA,98101,5,102.0,102.0,41.8,46.2,8.8,14.3,292.5,333.46,0,0,19.01,5.95,0,16.0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10590863046,GROUND,New York,IL,90001,Seattle,AZ,02101,6,18.8,165.4,94.2,16.9,23.4,33.1,423.23,551.69,0,0,27.51,5.95,95.0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10530912969,GROUND,New York,IL,10001,Phoenix,WA,02101,6,111.5,268.1,60.6,29.6,16.0,17.8,377.96,503.48,0,0,24.57,5.95,95.0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10667877899,GROUND,Los Angeles,CA,77001,Seattle,AZ,02101,5,8.2,13.5,13.5,7.7,14.0,17.4,30.85,38.81,0,0,2.01,5.95,0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10920507594,GROUND,Houston,TX,60601,Phoenix,WA,85001,7,149.4,149.4,11.9,8.1,8.0,25.6,96.68,108.91,0,0,6.28,5.95,0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10370271598,GROUND,Chicago,NY,77001,Miami,WA,80201,2,70.2,316.8,162.5,39.8,28.8,19.7,459.78,590.62,0,0,29.89,5.95,95.0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10155387260,3_DAY_SELECT,New York,CA,60601,Seattle,FL,80201,5,124.5,124.5,103.6,22.5,24.7,25.9,163.43,291.0,0,0,10.62,5.95,95.0,16.0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10817666103,NEXT_DAY_AIR,Houston,CA,10001,Denver,AZ,80201,2,1.8,99.3,99.3,24.9,20.6,26.9,246.28,363.24,0,0,16.01,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10302341747,NEXT_DAY_AIR,Chicago,CA,90001,Boston,AZ,80201,4,112.8,301.8,134.8,35.0,23.8,22.5,360.34,484.71,0,0,23.42,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10123050511,GROUND,Houston,CA,10001,Miami,FL,02101,5,108.3,108.3,22.2,7.1,26.2,16.6,97.55,109.84,0,0,6.34,5.95,0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10967116342,GROUND,Los Angeles,IL,10001,Boston,MA,85001,7,5.4,27.8,27.8,6.1,20.1,31.5,59.47,180.29,0,0,3.87,5.95,95.0,16.0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10708074333,2ND_DAY_AIR,New York,CA,90001,Seattle,AZ,85001,8,54.4,68.2,68.2,30.9,29.2,10.5,114.19,222.56,0,0,7.42,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10860198744,NEXT_DAY_AIR,Los Angeles,TX,60601,Boston,CO,33101,4,64.2,64.2,25.4,12.4,14.7,19.4,221.18,257.51,0,0,14.38,5.95,0,16.0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10605443102,NEXT_DAY_AIR,New York,IL,90001,Seattle,FL,98101,4,137.9,137.9,39.2,18.5,11.7,25.2,373.97,404.23,0,0,24.31,5.95,0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10833073825,GROUND,Los Angeles,TX,90001,Phoenix,FL,80201,8,128.9,128.9,45.3,33.5,26.1,7.2,216.87,331.92,0,0,14.1,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10253803090,2ND_DAY_AIR,Houston,CA,10001,Boston,CO,33101,5,41.8,104.8,104.8,43.2,10.5,32.1,305.88,426.71,0,0,19.88,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10121238385,2ND_DAY_AIR,Chicago,TX,10001,Seattle,CO,85001,4,47.9,61.9,61.9,45.3,13.0,14.6,92.59,199.56,0,0,6.02,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10305363908,GROUND,Houston,TX,90001,Seattle,FL,85001,4,25.2,98.5,98.5,20.7,20.8,31.8,252.06,369.39,0,0,16.38,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10626348472,2ND_DAY_AIR,New York,CA,60601,Seattle,AZ,02101,5,136.5,205.1,205.1,45.8,24.6,25.3,188.56,301.77,0,0,12.26,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10914329855,2ND_DAY_AIR,Los Angeles,IL,60601,Miami,MA,33101,5,61.4,175.2,73.0,9.0,34.7,32.5,360.24,489.81,5.2,0,23.42,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10433004942,GROUND,Houston,TX,90001,Phoenix,FL,02101,8,51.0,138.4,65.5,13.8,22.2,29.7,230.12,346.03,0,0,14.96,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10772379082,GROUND,Chicago,NY,60601,Miami,AZ,02101,3,62.0,326.3,161.5,37.4,17.0,35.3,316.59,438.12,0,0,20.58,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10258121385,GROUND,Los Angeles,TX,77001,Seattle,FL,33101,2,18.2,60.2,60.2,36.7,15.3,14.9,127.44,241.87,5.2,0,8.28,5.95,95.0,0,0,6
2024-01-15,UPS2025084151,987654321,1Z999AA10287561124,GROUND,Chicago,TX,77001,Phoenix,MA,85001,8,76.1,147.8,147.8,44.6,15.1,30.5,215.75,330.72,0,0,14.02,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10582705243,NEXT_DAY_AIR,Los Angeles,IL,77001,Seattle,MA,80201,3,147.4,147.4,79.7,21.2,28.7,18.2,224.17,339.69,0,0,14.57,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10996473071,GROUND,Houston,CA,90001,Phoenix,CO,80201,5,88.2,88.2,14.9,17.0,7.6,16.0,181.79,199.56,0,0,11.82,5.95,0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10964351254,2ND_DAY_AIR,Houston,TX,10001,Denver,MA,98101,4,47.6,66.5,66.5,22.7,25.0,16.3,79.72,201.85,0,0,5.18,5.95,95.0,16.0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10382337837,3_DAY_SELECT,Chicago,TX,90001,Miami,WA,98101,2,19.1,155.5,82.4,15.8,24.4,29.7,333.28,471.89,0,0,21.66,5.95,95.0,16.0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10875891207,GROUND,Houston,TX,77001,Denver,FL,02101,4,145.8,366.8,231.2,41.3,26.2,29.7,387.79,513.95,0,0,25.21,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10213831042,NEXT_DAY_AIR,New York,TX,77001,Boston,FL,33101,5,106.8,106.8,89.6,31.5,16.4,24.1,195.0,308.63,0,0,12.68,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10658865806,GROUND,New York,CA,77001,Seattle,CO,33101,6,38.7,172.8,113.8,36.2,13.7,31.9,261.51,379.46,0,0,17.0,5.95,95.0,0,0,5
2024-01-15,UPS2025084151,987654321,1Z999AA10314558043,2ND_DAY_AIR,Los Angeles,NY,90001,Miami,MA,85001,7,66.1,112.9,61.0,40.0,20.0,10.6,274.5,409.29,0,0,17.84,5.95,95.0,16.0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10135402749,2ND_DAY_AIR,Houston,TX,60601,Seattle,WA,80201,6,11.2,35.6,35.6,18.7,29.4,9.0,109.12,122.16,0,0,7.09,5.95,0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10559275987,2ND_DAY_AIR,Los Angeles,NY,90001,Seattle,WA,80201,3,41.9,41.9,36.5,15.1,28.2,11.9,133.93,148.59,0,0,8.71,5.95,0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10142563458,2ND_DAY_AIR,New York,NY,60601,Seattle,CO,85001,5,110.6,295.8,142.1,39.7,14.3,34.8,693.71,844.95,5.2,0,45.09,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10373208074,NEXT_DAY_AIR,New York,TX,77001,Miami,MA,80201,6,47.6,286.6,157.3,26.3,33.0,25.2,612.02,768.75,0,0,39.78,5.95,95.0,16.0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10486992054,GROUND,Houston,NY,90001,Miami,WA,80201,6,41.5,74.8,37.9,11.1,21.2,22.4,180.75,293.45,0,0,11.75,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10338582240,NEXT_DAY_AIR,New York,IL,77001,Phoenix,WA,02101,8,110.1,110.1,38.3,14.2,33.2,11.3,199.0,312.89,0,0,12.94,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10190010420,2ND_DAY_AIR,Los Angeles,TX,60601,Seattle,CO,98101,8,32.3,93.1,93.1,28.9,24.2,18.5,188.55,301.76,0,0,12.26,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10736272851,GROUND,Los Angeles,TX,77001,Phoenix,CO,02101,5,94.6,94.6,81.0,38.3,15.8,18.6,182.74,300.77,5.2,0,11.88,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10919186518,2ND_DAY_AIR,New York,TX,10001,Phoenix,FL,33101,2,143.1,143.1,29.2,7.4,17.4,31.5,146.35,256.81,0,0,9.51,5.95,95.0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10511454790,NEXT_DAY_AIR,Los Angeles,NY,10001,Phoenix,CO,98101,3,36.4,52.6,52.6,22.6,31.1,10.4,208.99,323.52,0,0,13.58,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10411198186,GROUND,New York,IL,60601,Seattle,FL,98101,5,69.1,69.1,60.3,27.3,27.9,11.0,102.07,214.85,5.2,0,6.63,5.95,95.0,0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10426462450,NEXT_DAY_AIR,Chicago,IL,77001,Denver,AZ,80201,2,148.7,148.7,46.8,30.4,9.3,23.0,216.37,252.38,0,0,14.06,5.95,0,16.0,0,2
2024-01-15,UPS2025084151,987654321,1Z999AA10133954504,NEXT_DAY_AIR,Los Angeles,NY,77001,Phoenix,WA,02101,4,118.3,118.3,39.4,14.3,17.9,21.4,370.8,400.85,0,0,24.1,5.95,0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10183552370,NEXT_DAY_AIR,Houston,IL,60601,Boston,FL,98101,5,143.9,348.9,116.5,43.0,15.0,25.1,557.01,694.17,0,0,36.21,5.95,95.0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10272136199,3_DAY_SELECT,Houston,NY,60601,Miami,MA,80201,5,5.2,141.8,141.8,34.5,22.4,25.5,310.37,431.49,0,0,20.17,5.95,95.0,0,0,4
2024-01-15,UPS2025084151,987654321,1Z999AA10449796303,2ND_DAY_AIR,Los Angeles,NY,77001,Boston,CO,33101,3,122.8,291.4,43.4,27.9,10.7,20.2,324.95,352.02,0,0,21.12,5.95,0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10212972335,2ND_DAY_AIR,Houston,TX,10001,Miami,CO,02101,2,18.2,46.4,23.8,12.5,8.5,31.2,132.6,147.17,0,0,8.62,5.95,0,0,1,2
2024-01-15,UPS2025084151,987654321,1Z999AA10795453733,GROUND,Chicago,NY,90001,Denver,FL,80201,2,91.5,91.5,46.8,16.9,14.1,27.3,201.94,332.02,0,0,13.13,5.95,95.0,16.0,1,5
2024-01-15,UPS2025084151,987654321,1Z999AA10514325930,GROUND,New York,TX,60601,Miami,MA,98101,6,25.9,224.8,119.7,43.7,34.0,11.2,213.07,327.87,0,0,13.85,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10692197761,3_DAY_SELECT,New York,CA,60601,Miami,MA,80201,8,76.6,492.7,322.5,41.9,35.9,29.8,430.06,558.96,0,0,27.95,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10102533256,GROUND,Houston,CA,60601,Boston,CO,80201,5,55.5,55.5,51.4,13.2,27.2,19.9,146.29,256.75,0,0,9.51,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10907513719,GROUND,Chicago,CA,60601,Miami,AZ,02101,6,43.2,43.6,43.6,32.2,19.4,9.7,99.04,111.43,0,0,6.44,5.95,0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10266677617,NEXT_DAY_AIR,Houston,TX,60601,Seattle,WA,02101,4,80.7,80.7,14.9,17.7,7.2,16.2,141.21,156.34,0,0,9.18,5.95,0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10818506684,NEXT_DAY_AIR,Los Angeles,NY,77001,Phoenix,MA,98101,5,30.3,71.0,18.8,17.5,16.2,9.2,211.82,231.54,0,0,13.77,5.95,0,0,1,1
2024-01-15,UPS2025084151,987654321,1Z999AA10612881029,GROUND,Chicago,IL,77001,Denver,MA,98101,2,34.6,65.5,65.5,47.6,9.2,20.8,145.72,256.14,0,0,9.47,5.95,95.0,0,1,4
2024-01-15,UPS2025084151,987654321,1Z999AA10995769354,GROUND,Chicago,TX,60601,Phoenix,MA,33101,4,21.9,217.2,217.2,39.3,24.7,31.1,127.2,236.42,0,0,8.27,5.95,95.0,0,1,3
2024-01-15,UPS2025084151,987654321,1Z999AA10588917693,GROUND,Houston,NY,60601,Phoenix,WA,02101,8,145.0,145.0,61.3,18.4,25.6,18.1,230.59,346.53,0,0,14.99,5.95,95.0,0,0,4
2024-01-15,UPS2025084151,987654321,1Z999AA10240175190,NEXT_DAY_AIR,Chicago,TX,60601,Phoenix,MA,98101,2,115.1,115.1,54.0,37.5,24.4,8.2,214.53,334.62,5.2,0,13.94,5.95,95.0,0,0,2
2024-01-15,UPS2025084151,987654321,1Z999AA10745391430,2ND_DAY_AIR,Houston,CA,77001,Phoenix,MA,02101,7,60.5,62.7,62.7,23.5,17.0,21.8,180.65,298.54,5.2,0,11.74,5.95,95.0,0,1,2
