Invoice_Date,Invoice_Number,Account_Number,Tracking_Number,Service_Type,Origin_City,Origin_State,Origin_Zip,Dest_City,Dest_State,Dest_Zip,Zone,Actual_Weight,Billed_Weight,Dimensional_Weight,Length,Width,Height,Published_Charge,Net_Charge,Residential_Surcharge,Address_Correction_Fee,Fuel_Surcharge,Peak_Surcharge,Large_Package_Surcharge,Saturday_Delivery_Fee,On_Time_Delivery,Days_In_Transit
2024-03-10,UPS2025082324,987654321,1Z999AA10310000288,NEXT_DAY_AIR,Chicago,NY,77001,Phoenix,WA,85001,7,108.1,108.1,74.6,24.7,23.6,17.8,275.86,388.79,0,0,17.93,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10918347435,GROUND,Chicago,CA,60601,Miami,CO,85001,4,115.9,201.3,99.1,29.8,34.5,13.4,117.77,243.63,5.2,18.0,7.66,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10962864125,NEXT_DAY_AIR,Houston,NY,90001,Boston,CO,80201,4,78.8,78.8,58.3,41.9,7.9,24.5,177.59,284.13,0,0,11.54,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10393679529,NEXT_DAY_AIR,Chicago,CA,77001,Boston,WA,98101,4,60.8,60.8,50.1,12.0,31.4,18.5,165.08,270.81,0,0,10.73,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10337059566,NEXT_DAY_AIR,New York,IL,60601,Phoenix,AZ,98101,7,146.4,146.4,55.6,9.1,28.9,29.4,255.57,372.38,5.2,0,16.61,0,95.0,0,0,2
2024-03-10,UPS2025082324,987654321,1Z999AA10128227269,3_DAY_SELECT,New York,NY,77001,Denver,WA,33101,3,146.8,364.0,70.5,32.5,15.7,19.2,823.96,972.52,0,0,53.56,0,95.0,0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10654499434,GROUND,Chicago,IL,77001,Miami,AZ,98101,6,104.4,104.4,82.2,13.5,23.7,35.7,254.6,389.35,5.2,18.0,16.55,0,95.0,0,0,4
2024-03-10,UPS2025082324,987654321,1Z999AA10811407002,GROUND,Chicago,CA,10001,Boston,MA,85001,7,62.0,238.2,238.2,38.6,27.4,31.3,191.5,304.15,5.2,0,12.45,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10184464529,GROUND,New York,NY,10001,Miami,MA,33101,8,125.7,125.7,46.5,35.4,11.0,16.6,304.06,323.82,0,0,19.76,0,0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10408301495,2ND_DAY_AIR,Houston,NY,10001,Boston,FL,02101,5,139.2,521.6,221.2,41.2,32.3,23.1,390.87,532.48,5.2,0,25.41,0,95.0,16.0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10446725761,NEXT_DAY_AIR,Chicago,CA,10001,Denver,AZ,80201,3,1.6,92.8,92.8,45.0,31.5,9.1,236.44,346.81,0,0,15.37,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10739816659,NEXT_DAY_AIR,New York,IL,77001,Boston,AZ,33101,7,112.4,112.4,68.2,40.5,15.4,15.2,185.69,297.96,5.2,0,12.07,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10460822428,NEXT_DAY_AIR,Houston,CA,10001,Boston,WA,98101,3,67.1,84.4,84.4,27.2,13.6,31.7,210.33,342.2,5.2,18.0,13.67,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10492855119,NEXT_DAY_AIR,Los Angeles,TX,10001,Boston,MA,02101,8,94.1,94.1,34.5,7.1,28.9,23.4,153.95,292.96,0,18.0,10.01,0,95.0,16.0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10634677404,3_DAY_SELECT,Chicago,IL,77001,Miami,WA,80201,3,38.9,130.8,130.8,29.0,25.9,24.2,125.83,268.21,5.2,18.0,8.18,0,95.0,16.0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10995233444,GROUND,New York,NY,10001,Denver,AZ,85001,8,130.2,130.2,118.9,42.3,28.1,13.9,334.96,474.93,5.2,18.0,21.77,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10772030042,NEXT_DAY_AIR,Chicago,CA,60601,Phoenix,MA,33101,7,74.0,134.3,134.3,36.8,31.9,15.9,208.49,322.24,5.2,0,13.55,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10404662420,GROUND,Houston,NY,77001,Phoenix,MA,80201,6,85.8,124.4,124.4,34.1,19.5,26.0,265.25,398.69,5.2,0,17.24,0,95.0,16.0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10804959337,GROUND,Chicago,TX,60601,Denver,AZ,85001,6,104.0,104.0,79.9,21.5,31.1,16.6,97.8,215.16,0,0,6.36,0,95.0,16.0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10655447915,NEXT_DAY_AIR,Los Angeles,CA,10001,Boston,AZ,80201,8,44.4,74.1,74.1,25.1,17.1,24.0,166.07,277.06,5.2,0,10.79,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10762004865,GROUND,Los Angeles,CA,60601,Denver,FL,98101,2,125.2,125.2,21.8,17.8,6.2,27.4,141.15,155.52,5.2,0,9.17,0,0,0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10256857273,GROUND,Houston,TX,10001,Boston,WA,02101,7,60.8,208.7,208.7,42.1,21.6,31.9,357.9,481.36,5.2,0,23.26,0,95.0,0,1,4
2024-03-10,UPS2025082324,987654321,1Z999AA10267670915,GROUND,Houston,IL,90001,Boston,AZ,80201,7,145.6,145.6,46.5,16.5,16.9,23.2,292.51,429.72,5.2,18.0,19.01,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10630758117,2ND_DAY_AIR,Houston,CA,60601,Seattle,CO,80201,5,59.6,221.6,221.6,31.8,33.4,29.0,556.02,687.16,0,0,36.14,0,95.0,0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10654603221,NEXT_DAY_AIR,Houston,TX,90001,Denver,WA,98101,2,129.8,129.8,81.0,24.5,23.7,19.4,216.47,325.54,0,0,14.07,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10950989786,2ND_DAY_AIR,New York,TX,77001,Miami,CO,02101,6,90.3,92.4,92.4,11.8,32.2,33.8,150.55,260.54,5.2,0,9.79,0,95.0,0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10921765128,GROUND,New York,IL,90001,Denver,FL,33101,7,79.5,79.6,79.6,44.7,12.2,20.3,169.08,280.27,5.2,0,10.99,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10189649987,NEXT_DAY_AIR,New York,NY,10001,Boston,WA,80201,7,53.5,53.5,40.5,8.5,29.6,22.4,154.97,283.24,5.2,18.0,10.07,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10118611874,NEXT_DAY_AIR,Chicago,TX,60601,Miami,AZ,02101,8,105.6,105.6,48.3,25.7,13.4,19.5,294.66,331.81,0,18.0,19.15,0,0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10845501160,GROUND,Chicago,TX,90001,Boston,CO,33101,6,63.3,63.3,19.3,15.0,12.5,14.3,167.81,183.92,5.2,0,10.91,0,0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10427611082,2ND_DAY_AIR,Chicago,NY,10001,Seattle,FL,85001,7,47.5,47.5,43.0,23.0,29.9,8.7,107.02,226.98,0,18.0,6.96,0,95.0,0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10790710941,2ND_DAY_AIR,Los Angeles,CA,60601,Phoenix,WA,98101,3,114.8,187.3,14.0,10.3,15.9,11.9,382.05,428.08,5.2,0,24.83,0,0,16.0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10453895392,GROUND,New York,TX,77001,Boston,MA,80201,2,70.5,70.5,15.3,44.6,7.8,6.1,90.35,114.22,0,18.0,5.87,0,0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10786562509,GROUND,Houston,CA,90001,Miami,MA,98101,7,22.3,83.8,83.8,32.4,11.0,32.7,78.39,199.69,5.2,0,5.1,0,95.0,16.0,1,4
2024-03-10,UPS2025082324,987654321,1Z999AA10934497120,NEXT_DAY_AIR,Los Angeles,NY,90001,Seattle,FL,98101,5,88.6,88.6,23.1,10.7,28.1,10.7,167.61,201.7,5.2,18.0,10.89,0,0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10610796141,NEXT_DAY_AIR,Chicago,TX,90001,Boston,WA,85001,3,66.4,372.2,372.2,45.9,32.2,35.0,837.05,991.66,5.2,0,54.41,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10373531882,GROUND,New York,NY,60601,Seattle,FL,02101,2,92.4,191.9,12.5,6.2,8.9,31.4,192.4,204.91,0,0,12.51,0,0,0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10848720970,GROUND,Houston,NY,90001,Boston,CO,80201,4,52.4,184.4,122.5,34.1,22.1,22.6,434.68,563.13,5.2,0,28.25,0,95.0,0,1,4
2024-03-10,UPS2025082324,987654321,1Z999AA10660143776,GROUND,Chicago,TX,90001,Denver,CO,80201,3,24.6,51.0,51.0,25.6,25.9,10.7,114.48,222.12,5.2,0,7.44,0,95.0,0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10441609354,3_DAY_SELECT,Houston,TX,10001,Denver,WA,02101,2,54.1,54.1,14.8,37.7,7.5,7.3,66.09,109.59,5.2,18.0,4.3,0,0,16.0,0,4
2024-03-10,UPS2025082324,987654321,1Z999AA10653613933,GROUND,New York,IL,10001,Seattle,WA,85001,8,98.4,98.4,34.7,11.2,14.6,29.5,66.57,187.1,5.2,0,4.33,0,95.0,16.0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10289424189,2ND_DAY_AIR,Houston,NY,60601,Miami,CO,33101,7,130.8,324.9,58.2,17.8,12.8,35.5,236.75,347.14,0,0,15.39,0,95.0,0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10381133996,GROUND,Los Angeles,IL,60601,Boston,WA,02101,6,41.3,329.7,175.7,30.1,23.8,34.1,239.25,365.8,0,0,15.55,0,95.0,16.0,1,4
2024-03-10,UPS2025082324,987654321,1Z999AA10998966853,2ND_DAY_AIR,Los Angeles,IL,77001,Phoenix,FL,33101,5,131.7,131.7,73.6,37.9,15.7,17.2,349.53,467.25,0,0,22.72,0,95.0,0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10289675906,GROUND,Houston,CA,77001,Miami,WA,02101,5,65.7,65.7,38.8,11.0,15.4,31.8,79.43,184.79,5.2,0,5.16,0,95.0,0,1,4
2024-03-10,UPS2025082324,987654321,1Z999AA10388008255,GROUND,Los Angeles,TX,10001,Boston,AZ,80201,3,136.4,270.9,31.3,7.5,25.7,22.6,622.49,757.95,0,0,40.46,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10560108490,3_DAY_SELECT,Houston,TX,77001,Phoenix,CO,98101,5,19.5,148.3,61.2,32.0,8.2,32.4,140.76,244.91,0,0,9.15,0,95.0,0,1,3
2024-03-10,UPS2025082324,987654321,1Z999AA10404809534,NEXT_DAY_AIR,Los Angeles,IL,10001,Denver,FL,33101,8,88.2,114.1,114.1,20.9,30.1,25.2,349.48,467.2,0,0,22.72,0,95.0,0,1,1
2024-03-10,UPS2025082324,987654321,1Z999AA10528933793,GROUND,Los Angeles,IL,10001,Seattle,AZ,85001,3,118.7,118.7,111.6,24.7,22.6,27.8,286.66,400.29,0,0,18.63,0,95.0,0,1,5
2024-03-10,UPS2025082324,987654321,1Z999AA10941909995,2ND_DAY_AIR,Los Angeles,TX,60601,Phoenix,FL,33101,8,126.3,126.3,39.9,18.0,28.5,10.8,204.97,331.29,0,18.0,13.32,0,95.0,0,1,2
2024-03-10,UPS2025082324,987654321,1Z999AA10771279783,GROUND,New York,TX,10001,Miami,MA,80201,4,133.9,133.9,90.9,47.2,7.9,33.9,205.81,314.19,0,0,13.38,0,95.0,0,1,4
