Invoice_Date,Invoice_Number,Account_Number,Tracking_Number,Service_Type,Origin_City,Origin_State,Origin_Zip,Dest_City,Dest_State,Dest_Zip,Zone,Actual_Weight,Billed_Weight,Dimensional_Weight,Length,Width,Height,Published_Charge,Net_Charge,Residential_Surcharge,Address_Correction_Fee,Fuel_Surcharge,Peak_Surcharge,Large_Package_Surcharge,Saturday_Delivery_Fee,On_Time_Delivery,Days_In_Transit
2024-05-18,UPS2025085975,987654321,1Z999AA10301153562,NEXT_DAY_AIR,Chicago,CA,77001,Phoenix,CO,02101,4,54.3,212.0,128.3,40.4,26.6,16.6,356.54,479.92,5.2,0,23.18,0,95.0,0,1,1
2024-05-18,UPS2025085975,987654321,1Z999AA10567679667,GROUND,Houston,TX,60601,Boston,FL,80201,7,19.1,19.1,18.3,13.4,15.3,12.4,52.55,61.17,5.2,0,3.42,0,0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10463514986,3_DAY_SELECT,Chicago,CA,77001,Miami,FL,33101,4,6.8,136.3,66.4,39.6,22.4,10.4,168.97,274.95,0,0,10.98,0,95.0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10288753654,NEXT_DAY_AIR,New York,NY,60601,Denver,MA,02101,3,60.6,150.3,98.3,37.7,25.9,14.0,242.16,352.9,0,0,15.74,0,95.0,0,1,1
2024-05-18,UPS2025085975,987654321,1Z999AA10220450639,GROUND,New York,CA,77001,Seattle,MA,33101,3,14.3,75.9,75.9,37.9,16.0,17.4,81.58,181.88,0,0,5.3,0,95.0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10143282129,2ND_DAY_AIR,Houston,NY,77001,Miami,FL,80201,2,68.3,85.1,85.1,41.7,19.3,14.7,149.7,254.43,0,0,9.73,0,95.0,0,1,2
2024-05-18,UPS2025085975,987654321,1Z999AA10614610943,GROUND,New York,TX,77001,Phoenix,MA,33101,8,100.3,100.3,21.7,8.8,10.8,31.8,156.72,166.91,0,0,10.19,0,0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10764821418,NEXT_DAY_AIR,Houston,IL,10001,Denver,AZ,33101,8,11.8,154.5,154.5,25.2,32.4,26.3,343.48,466.01,5.2,0,22.33,0,95.0,0,1,1
2024-05-18,UPS2025085975,987654321,1Z999AA10557461306,3_DAY_SELECT,Houston,NY,60601,Phoenix,MA,02101,3,35.0,117.0,117.0,38.7,12.7,33.1,311.1,426.32,0,0,20.22,0,95.0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10671901516,NEXT_DAY_AIR,New York,CA,90001,Denver,MA,02101,6,100.9,100.9,56.6,45.5,7.2,24.0,201.9,315.22,5.2,0,13.12,0,95.0,0,1,1
2024-05-18,UPS2025085975,987654321,1Z999AA10536043165,GROUND,New York,TX,90001,Seattle,MA,02101,2,144.7,367.3,215.0,33.4,33.9,26.4,242.22,352.96,0,0,15.74,0,95.0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10705819038,2ND_DAY_AIR,Los Angeles,IL,60601,Miami,FL,80201,5,8.5,269.1,269.1,40.2,28.9,32.2,387.42,507.6,0,0,25.18,0,95.0,0,0,3
2024-05-18,UPS2025085975,987654321,1Z999AA10703749466,NEXT_DAY_AIR,New York,NY,10001,Phoenix,WA,80201,3,55.3,376.6,187.0,37.3,26.3,26.5,1022.14,1183.58,0,0,66.44,0,95.0,0,1,1
2024-05-18,UPS2025085975,987654321,1Z999AA10860932863,NEXT_DAY_AIR,Chicago,TX,90001,Boston,CO,33101,7,86.6,181.0,181.0,29.6,33.6,25.3,256.49,368.16,0,0,16.67,0,95.0,0,1,1
2024-05-18,UPS2025085975,987654321,1Z999AA10501306772,3_DAY_SELECT,Houston,IL,10001,Miami,AZ,98101,4,100.2,100.2,79.5,28.2,25.6,15.3,241.68,357.59,5.2,0,15.71,0,95.0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10469963728,GROUND,Houston,TX,90001,Phoenix,WA,02101,5,31.6,115.1,115.1,33.0,14.3,33.9,178.43,290.23,5.2,0,11.6,0,95.0,0,1,4
2024-05-18,UPS2025085975,987654321,1Z999AA10111059398,GROUND,Chicago,CA,10001,Boston,AZ,33101,2,103.9,103.9,98.6,18.6,21.6,34.1,154.46,259.5,0,0,10.04,0,95.0,0,1,4
2024-05-18,UPS2025085975,987654321,1Z999AA10993228698,GROUND,Los Angeles,TX,90001,Phoenix,WA,33101,5,49.3,111.0,111.0,30.6,34.3,14.7,198.71,322.63,0,0,12.92,0,95.0,16.0,1,5
2024-05-18,UPS2025085975,987654321,1Z999AA10114919794,GROUND,Houston,NY,60601,Miami,CO,85001,3,39.7,171.6,171.6,36.7,20.5,31.7,248.03,359.15,0,0,16.12,0,95.0,0,1,4
2024-05-18,UPS2025085975,987654321,1Z999AA10964748423,GROUND,Chicago,TX,60601,Denver,CO,33101,6,66.4,66.4,64.5,37.8,18.4,12.9,79.02,179.16,0,0,5.14,0,95.0,0,1,3
2024-05-18,UPS2025085975,987654321,1Z999AA10558661942,GROUND,Chicago,NY,77001,Seattle,FL,80201,6,124.0,124.0,52.5,25.8,14.2,19.9,276.72,317.91,5.2,18.0,17.99,0,0,0,1,5
2024-05-18,UPS2025085975,987654321,1Z999AA10586433265,GROUND,Los Angeles,CA,77001,Denver,MA,85001,2,108.6,180.0,180.0,29.6,31.3,27.0,446.48,594.45,0,18.0,29.02,5.95,95.0,0,1,4
2024-05-18,UPS2025085975,987654321,1Z999AA10261813337,GROUND,New York,IL,77001,Boston,FL,33101,8,59.8,59.8,16.8,8.0,17.4,16.8,156.65,172.03,5.2,0,10.18,0,0,0,0,4
2024-05-18,UPS2025085975,987654321,1Z999AA10392326905,GROUND,Houston,IL,90001,Boston,AZ,85001,6,116.8,273.8,273.8,46.6,26.6,30.7,574.53,706.87,0,0,37.34,0,95.0,0,1,5
